French,English
histoire,history
chercher,search
seulement,only
police,police
pensais,thought
demande,request
mois,month
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
attention,Warning
pourrais,could
affaire,case
donner,give
leurs,their
donné,given
train,train
endroit,place
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
tiens,here
tellement,so much
enfant,child
point,point
suite,after
venez,come
vers,towards
minutes,minutes
demandé,request
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
attendez,Wait
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
compte,account
donne,given
loin,far
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
jouer,to play
bureau,office
